O3,O3_flag,NO2,NO2_flag,NO,NO_flag,CO,CO_flag,PM10,PM10_flag,PM2.5,PM2.5_flag,Temp_Avg,RH_Avg,WSpeed_Avg,WSpeed_Max,WDir_Avg,WDir_SD,Rain_Tot,Press_Avg,Rad_Avg,Year,Month,Day,Hour,Minute
37.62,OK,5.7,OK,0.49,OK,0.41,OK,45.23,OK,40.47,OK,20.17,83.0,1.227,1.546,299.6,3.958,0.3,803.635,169.0,2023,10,3,14,19
45.56,OK,3.81,OK,0.2,BDL,0.08,OK,26.84,OK,36.36,OK,17.0,89.6,3.521,4.557,107.4,12.27,0.1,806.854,,2023,7,9,22,22
29.46,OK,6.2,OK,0.2,BDL,0.1,OK,18.99,OK,2.0,BDL,15.62,97.0,1.69,1.853,318.6,3.748,0.1,806.22,,2023,7,7,1,36
14.06,OK,7.87,OK,0.2,BDL,0.53,OK,2.0,BDL,4.03,OK,10.07,95.7,0.0,0.0,0.0,0.0,0.1,806.016,,2024,2,17,0,17
43.96,OK,1.09,OK,0.2,BDL,0.02,BDL,34.6,OK,23.5,OK,17.39,78.59,2.154,2.509,140.9,8.14,0.1,806.714,98.3,2023,7,23,14,20
20.08,OK,4.92,OK,0.2,BDL,0.26,OK,18.43,OK,8.29,OK,12.05,93.8,1.184,1.444,96.0,2.506,0.1,808.954,0.138,2023,12,7,1,44
44.73,OK,1.38,OK,0.2,BDL,0.22,OK,55.13,OK,39.27,OK,17.35,77.32,1.886,2.191,244.3,16.32,0.2,805.994,51.99,2023,9,15,14,13
48.33,OK,2.39,OK,0.2,BDL,0.23,OK,9.53,OK,17.19,OK,19.95,64.67,1.326,1.802,99.8,12.53,0.1,806.515,,2023,6,27,23,14
11.33,OK,16.39,OK,0.2,BDL,0.54,OK,23.26,OK,22.33,OK,17.09,93.3,0.215,0.502,274.4,0.366,0.1,806.104,,2023,8,19,20,3
46.05,OK,2.58,OK,0.2,BDL,0.2,OK,17.08,OK,30.93,OK,14.25,97.3,1.029,2.365,90.1,41.79,0.1,808.859,,2023,9,1,23,5
39.84,OK,1.81,OK,0.2,BDL,0.07,OK,34.81,OK,25.85,OK,17.17,89.7,2.811,3.267,182.0,16.36,0.1,806.612,67.22,2023,7,23,14,35
57.47,OK,3.79,OK,0.2,BDL,0.36,OK,43.46,OK,34.83,OK,20.82,63.23,2.553,3.031,180.5,10.3,0.1,804.525,35.03,2023,5,21,17,42
36.88,OK,0.2,BDL,0.2,BDL,0.18,OK,13.67,OK,13.15,OK,16.23,81.6,9.47,11.77,141.7,16.83,0.4,806.603,19.68,2023,9,16,20,31
27.21,OK,2.16,OK,0.2,BDL,0.34,OK,22.18,OR,2.0,BDL,15.39,93.5,0.787,0.932,6.206,7.248,0.1,809.682,,2023,8,5,23,34
55.52,OK,4.53,OK,0.2,BDL,0.23,OK,31.3,OK,16.48,OK,20.35,72.33,4.884,6.349,323.2,11.3,0.2,802.941,145.9,2023,11,9,15,46
18.15,OK,1.36,OK,0.2,BDL,0.21,OK,10.21,OK,7.58,OK,15.74,96.3,0.241,0.451,277.9,9.21,0.1,803.492,,2023,10,9,22,38
29.95,OK,7.65,OK,0.2,BDL,0.38,OK,24.59,OK,18.11,OK,16.93,90.9,2.55,3.185,62.75,12.99,0.1,803.656,38.99,2023,10,25,15,26
19.76,OK,1.54,OK,0.45,OK,0.22,OK,9.25,OK,2.0,BDL,18.86,79.23,1.166,1.413,284.4,9.94,0.1,807.437,308.2,2023,8,17,12,52
47.28,OK,2.36,OK,0.2,BDL,0.21,OK,16.79,OK,27.86,OK,13.71,98.4,3.186,3.615,151.4,10.1,0.1,809.015,,2023,9,1,22,59
30.12,OK,7.47,OK,0.2,BDL,0.37,OK,24.57,OK,17.58,OK,16.8,91.7,3.342,4.076,35.22,6.577,0.2,803.758,38.67,2023,10,25,15,27
19.56,OK,5.46,OK,0.2,BDL,0.52,OK,2.0,BDL,4.25,OK,10.06,95.1,0.0,0.0,0.0,0.0,0.1,806.2,,2024,2,17,0,5
33.27,OK,3.6,OK,0.2,BDL,0.11,OK,16.21,OK,8.33,OK,16.18,91.5,1.132,1.423,330.0,6.009,0.1,807.781,,2023,7,22,22,41
43.84,OK,2.56,OK,0.2,BDL,0.33,OK,33.43,OK,21.16,OK,14.93,89.2,3.722,4.721,127.2,13.32,0.3,806.568,0.553,2023,6,6,23,6
12.93,OK,2.05,OK,0.2,BDL,0.24,OK,2.0,BDL,2.0,BDL,16.03,97.0,0.0,0.0,0.0,0.0,0.2,803.499,0.184,2023,10,9,21,49
